"template_id","template_label","missingness","n_subjects","n_intended","n_retained","n_removed","minimum_subject_observations","n_requested","n_execution_completed","n_execution_failure","n_axis_refits_requested","n_axis_refits_completed","recovery_probability","mean_axis_loading_similarity","model_estimability_probability","panel","probability","template_axis_label","state","plotted_probability","execution_state"
"complete","Complete trajectories","complete",8,32,32,0,4,5,5,0,25,25,1,0.996355195747595,1,"A  Target-axis recovery",1,"Complete trajectories
32/32 retained","Estimated",1,"Complete"
"isolated_observation_loss","One internal visit missing","isolated_observation_loss",8,32,31,1,3,5,4,1,25,20,1,0.994588783008451,1,"A  Target-axis recovery",1,"One internal visit missing
31/32 retained","Estimated",1,"Partial execution"
"terminal_dropout","One mouse drops out","terminal_dropout",8,32,30,2,2,5,5,0,25,25,1,0.995639594465278,0,"A  Target-axis recovery",1,"One mouse drops out
30/32 retained","Estimated",1,"Complete"
"condition_dependent_loss","Two disease mice drop out","condition_dependent_loss",8,32,28,4,2,5,5,0,25,25,1,0.994862329030534,0,"A  Target-axis recovery",1,"Two disease mice drop out
28/32 retained","Estimated",1,"Complete"
"complete","Complete trajectories","complete",8,32,32,0,4,5,5,0,25,25,1,0.996355195747595,1,"B  Axis identifiability",0.996355195747595,"Complete trajectories
32/32 retained","Estimated",0.996355195747595,"Complete"
"isolated_observation_loss","One internal visit missing","isolated_observation_loss",8,32,31,1,3,5,4,1,25,20,1,0.994588783008451,1,"B  Axis identifiability",0.994588783008451,"One internal visit missing
31/32 retained","Estimated",0.994588783008451,"Partial execution"
"terminal_dropout","One mouse drops out","terminal_dropout",8,32,30,2,2,5,5,0,25,25,1,0.995639594465278,0,"B  Axis identifiability",0.995639594465278,"One mouse drops out
30/32 retained","Estimated",0.995639594465278,"Complete"
"condition_dependent_loss","Two disease mice drop out","condition_dependent_loss",8,32,28,4,2,5,5,0,25,25,1,0.994862329030534,0,"B  Axis identifiability",0.994862329030534,"Two disease mice drop out
28/32 retained","Estimated",0.994862329030534,"Complete"
"complete","Complete trajectories","complete",8,32,32,0,4,5,5,0,25,25,1,0.996355195747595,1,"C  Random-slope model estimability",1,"Complete trajectories
32/32 retained","Estimated",1,"Complete"
"isolated_observation_loss","One internal visit missing","isolated_observation_loss",8,32,31,1,3,5,4,1,25,20,1,0.994588783008451,1,"C  Random-slope model estimability",1,"One internal visit missing
31/32 retained","Estimated",1,"Partial execution"
"terminal_dropout","One mouse drops out","terminal_dropout",8,32,30,2,2,5,5,0,25,25,1,0.995639594465278,0,"C  Random-slope model estimability",0,"One mouse drops out
30/32 retained","Estimated",0,"Complete"
"condition_dependent_loss","Two disease mice drop out","condition_dependent_loss",8,32,28,4,2,5,5,0,25,25,1,0.994862329030534,0,"C  Random-slope model estimability",0,"Two disease mice drop out
28/32 retained","Estimated",0,"Complete"
