"canonical_cell","control","design_id","p","signal_ratio","signal_strength","n_requested","n_completed","n_recovery_evaluable","n_recovered","recovery_probability","wilson_95_lower","wilson_95_upper","n_recovered_downstream_estimable","downstream_estimability_probability","decision","design_family","facet_label","feature_count"
"control=independent_time_course;design=balanced_1;p=100","independent_time_course","balanced_1",100,NA,NA,100,100,100,100,1,0.963006501793014,1,100,1,"supported","Independent destructive sampling","Balanced: one animal","   100"
"control=independent_time_course;design=balanced_2;p=100","independent_time_course","balanced_2",100,NA,NA,100,100,100,100,1,0.963006501793014,1,100,1,"supported","Independent destructive sampling","Balanced: two animals","   100"
"control=independent_time_course;design=balanced_3;p=100","independent_time_course","balanced_3",100,NA,NA,100,100,100,100,1,0.963006501793014,1,100,1,"supported","Independent destructive sampling","Balanced: three animals","   100"
"control=independent_time_course;design=unequal_1_2_3;p=100","independent_time_course","unequal_1_2_3",100,NA,NA,100,100,100,100,1,0.963006501793014,1,100,1,"supported","Independent destructive sampling","Unequal: one to three animals","   100"
"control=independent_time_course;design=isolated_library_failure;p=100","independent_time_course","isolated_library_failure",100,NA,NA,100,100,100,100,1,0.963006501793014,1,100,1,"supported","Independent destructive sampling","Isolated library failure","   100"
"control=independent_time_course;design=missing_internal_cell;p=100","independent_time_course","missing_internal_cell",100,NA,NA,100,100,100,0,0,0,0.036993498206986,0,NA,"unsupported","Independent destructive sampling","Missing internal cell","   100"
"control=independent_time_course;design=balanced_1;p=1000","independent_time_course","balanced_1",1000,NA,NA,100,100,100,100,1,0.963006501793014,1,100,1,"supported","Independent destructive sampling","Balanced: one animal"," 1,000"
"control=independent_time_course;design=balanced_2;p=1000","independent_time_course","balanced_2",1000,NA,NA,100,100,100,100,1,0.963006501793014,1,100,1,"supported","Independent destructive sampling","Balanced: two animals"," 1,000"
"control=independent_time_course;design=balanced_3;p=1000","independent_time_course","balanced_3",1000,NA,NA,100,100,100,100,1,0.963006501793014,1,100,1,"supported","Independent destructive sampling","Balanced: three animals"," 1,000"
"control=independent_time_course;design=unequal_1_2_3;p=1000","independent_time_course","unequal_1_2_3",1000,NA,NA,100,100,100,100,1,0.963006501793014,1,100,1,"supported","Independent destructive sampling","Unequal: one to three animals"," 1,000"
"control=independent_time_course;design=isolated_library_failure;p=1000","independent_time_course","isolated_library_failure",1000,NA,NA,100,100,100,100,1,0.963006501793014,1,100,1,"supported","Independent destructive sampling","Isolated library failure"," 1,000"
"control=independent_time_course;design=missing_internal_cell;p=1000","independent_time_course","missing_internal_cell",1000,NA,NA,100,100,100,0,0,0,0.036993498206986,0,NA,"unsupported","Independent destructive sampling","Missing internal cell"," 1,000"
"control=independent_time_course;design=balanced_1;p=10000","independent_time_course","balanced_1",10000,NA,NA,100,100,100,100,1,0.963006501793014,1,100,1,"supported","Independent destructive sampling","Balanced: one animal","10,000"
"control=independent_time_course;design=balanced_2;p=10000","independent_time_course","balanced_2",10000,NA,NA,100,100,100,100,1,0.963006501793014,1,100,1,"supported","Independent destructive sampling","Balanced: two animals","10,000"
"control=independent_time_course;design=balanced_3;p=10000","independent_time_course","balanced_3",10000,NA,NA,100,100,100,100,1,0.963006501793014,1,100,1,"supported","Independent destructive sampling","Balanced: three animals","10,000"
"control=independent_time_course;design=unequal_1_2_3;p=10000","independent_time_course","unequal_1_2_3",10000,NA,NA,100,100,100,100,1,0.963006501793014,1,100,1,"supported","Independent destructive sampling","Unequal: one to three animals","10,000"
"control=independent_time_course;design=isolated_library_failure;p=10000","independent_time_course","isolated_library_failure",10000,NA,NA,100,100,100,100,1,0.963006501793014,1,100,1,"supported","Independent destructive sampling","Isolated library failure","10,000"
"control=independent_time_course;design=missing_internal_cell;p=10000","independent_time_course","missing_internal_cell",10000,NA,NA,100,100,100,0,0,0,0.036993498206986,0,NA,"unsupported","Independent destructive sampling","Missing internal cell","10,000"
"control=repeated_subject;design=complete;p=100","repeated_subject","complete",100,NA,NA,100,100,100,100,1,0.963006501793014,1,100,1,"supported","Repeated-subject sampling","Complete trajectories","   100"
"control=repeated_subject;design=isolated_observation_loss;p=100","repeated_subject","isolated_observation_loss",100,NA,NA,100,100,100,100,1,0.963006501793014,1,100,1,"supported","Repeated-subject sampling","Isolated observation loss","   100"
"control=repeated_subject;design=terminal_dropout;p=100","repeated_subject","terminal_dropout",100,NA,NA,100,100,100,0,0,0,0.036993498206986,0,NA,"unsupported","Repeated-subject sampling","Terminal dropout","   100"
"control=repeated_subject;design=condition_dependent_loss;p=100","repeated_subject","condition_dependent_loss",100,NA,NA,100,100,100,0,0,0,0.036993498206986,0,NA,"unsupported","Repeated-subject sampling","Condition-dependent loss","   100"
"control=repeated_subject;design=complete;p=1000","repeated_subject","complete",1000,NA,NA,100,100,100,100,1,0.963006501793014,1,100,1,"supported","Repeated-subject sampling","Complete trajectories"," 1,000"
"control=repeated_subject;design=isolated_observation_loss;p=1000","repeated_subject","isolated_observation_loss",1000,NA,NA,100,100,100,100,1,0.963006501793014,1,100,1,"supported","Repeated-subject sampling","Isolated observation loss"," 1,000"
"control=repeated_subject;design=terminal_dropout;p=1000","repeated_subject","terminal_dropout",1000,NA,NA,100,100,100,0,0,0,0.036993498206986,0,NA,"unsupported","Repeated-subject sampling","Terminal dropout"," 1,000"
"control=repeated_subject;design=condition_dependent_loss;p=1000","repeated_subject","condition_dependent_loss",1000,NA,NA,100,100,100,0,0,0,0.036993498206986,0,NA,"unsupported","Repeated-subject sampling","Condition-dependent loss"," 1,000"
"control=repeated_subject;design=complete;p=10000","repeated_subject","complete",10000,NA,NA,100,100,100,100,1,0.963006501793014,1,100,1,"supported","Repeated-subject sampling","Complete trajectories","10,000"
"control=repeated_subject;design=isolated_observation_loss;p=10000","repeated_subject","isolated_observation_loss",10000,NA,NA,100,100,100,100,1,0.963006501793014,1,100,1,"supported","Repeated-subject sampling","Isolated observation loss","10,000"
"control=repeated_subject;design=terminal_dropout;p=10000","repeated_subject","terminal_dropout",10000,NA,NA,100,100,100,0,0,0,0.036993498206986,0,NA,"unsupported","Repeated-subject sampling","Terminal dropout","10,000"
"control=repeated_subject;design=condition_dependent_loss;p=10000","repeated_subject","condition_dependent_loss",10000,NA,NA,100,100,100,0,0,0,0.036993498206986,0,NA,"unsupported","Repeated-subject sampling","Condition-dependent loss","10,000"
