"canonical_cell","control","design_id","p","signal_ratio","signal_strength","n_requested","n_completed","n_recovery_evaluable","n_recovered","recovery_probability","wilson_95_lower","wilson_95_upper","n_recovered_downstream_estimable","downstream_estimability_probability","decision","feature_count","signal_ratio_label","regime_label"
"control=high_dimensional_signal;design=fixed_total_spike;p=100;signal_ratio=0.75","high_dimensional_signal","fixed_total_spike",100,0.75,5.24945326737087,100,100,100,0,0,0,0.036993498206986,0,NA,"unsupported","100","0.75","Fixed total spike"
"control=high_dimensional_signal;design=fixed_sparse;p=100;signal_ratio=0.75","high_dimensional_signal","fixed_sparse",100,0.75,5.24945326737087,100,100,100,0,0,0,0.036993498206986,0,NA,"unsupported","100","0.75","Fixed sparse signal"
"control=high_dimensional_signal;design=growing_coherent;p=100;signal_ratio=0.75","high_dimensional_signal","growing_coherent",100,0.75,5.24945326737087,100,100,100,0,0,0,0.036993498206986,0,NA,"unsupported","100","0.75","Growing coherent signal"
"control=high_dimensional_signal;design=correlated_modules;p=100;signal_ratio=0.75","high_dimensional_signal","correlated_modules",100,0.75,18.4852324604873,100,100,100,0,0,0,0.036993498206986,0,NA,"unsupported","100","0.75","Correlated modules"
"control=high_dimensional_signal;design=fixed_total_spike;p=1000;signal_ratio=0.75","high_dimensional_signal","fixed_total_spike",1000,0.75,5.24945326737087,100,100,100,0,0,0,0.036993498206986,0,NA,"unsupported","1,000","0.75","Fixed total spike"
"control=high_dimensional_signal;design=fixed_sparse;p=1000;signal_ratio=0.75","high_dimensional_signal","fixed_sparse",1000,0.75,5.24945326737087,100,100,100,0,0,0,0.036993498206986,0,NA,"unsupported","1,000","0.75","Fixed sparse signal"
"control=high_dimensional_signal;design=growing_coherent;p=1000;signal_ratio=0.75","high_dimensional_signal","growing_coherent",1000,0.75,5.24945326737087,100,100,100,0,0,0,0.036993498206986,0,NA,"unsupported","1,000","0.75","Growing coherent signal"
"control=high_dimensional_signal;design=correlated_modules;p=1000;signal_ratio=0.75","high_dimensional_signal","correlated_modules",1000,0.75,18.4852324604873,100,100,100,0,0,0,0.036993498206986,0,NA,"unsupported","1,000","0.75","Correlated modules"
"control=high_dimensional_signal;design=fixed_total_spike;p=10000;signal_ratio=0.75","high_dimensional_signal","fixed_total_spike",10000,0.75,5.24945326737087,100,100,100,0,0,0,0.036993498206986,0,NA,"unsupported","10,000","0.75","Fixed total spike"
"control=high_dimensional_signal;design=fixed_sparse;p=10000;signal_ratio=0.75","high_dimensional_signal","fixed_sparse",10000,0.75,5.24945326737087,100,100,100,0,0,0,0.036993498206986,0,NA,"unsupported","10,000","0.75","Fixed sparse signal"
"control=high_dimensional_signal;design=growing_coherent;p=10000;signal_ratio=0.75","high_dimensional_signal","growing_coherent",10000,0.75,5.24945326737087,100,100,100,0,0,0,0.036993498206986,0,NA,"unsupported","10,000","0.75","Growing coherent signal"
"control=high_dimensional_signal;design=correlated_modules;p=10000;signal_ratio=0.75","high_dimensional_signal","correlated_modules",10000,0.75,18.4852324604873,100,100,100,0,0,0,0.036993498206986,0,NA,"unsupported","10,000","0.75","Correlated modules"
"control=high_dimensional_signal;design=fixed_total_spike;p=100;signal_ratio=1","high_dimensional_signal","fixed_total_spike",100,1,6.99927102316117,100,100,100,100,1,0.963006501793014,1,100,1,"supported","100","1.00","Fixed total spike"
"control=high_dimensional_signal;design=fixed_sparse;p=100;signal_ratio=1","high_dimensional_signal","fixed_sparse",100,1,6.99927102316117,100,100,100,100,1,0.963006501793014,1,100,1,"supported","100","1.00","Fixed sparse signal"
"control=high_dimensional_signal;design=growing_coherent;p=100;signal_ratio=1","high_dimensional_signal","growing_coherent",100,1,6.99927102316117,100,100,100,100,1,0.963006501793014,1,100,1,"supported","100","1.00","Growing coherent signal"
"control=high_dimensional_signal;design=correlated_modules;p=100;signal_ratio=1","high_dimensional_signal","correlated_modules",100,1,24.6469766139831,100,100,100,100,1,0.963006501793014,1,100,1,"supported","100","1.00","Correlated modules"
