replicate	reference_component	replicate_component	matched	signed_similarity	absolute_similarity	orientation	assignment_margin	index_recurrent	proposal_rank	rank_one	nominated_reference
1	1	1	TRUE	0.981396456370008	0.981396456370008	1	0.789700734777126	TRUE	1	TRUE	TRUE
1	2	2	TRUE	-0.970634246415076	0.970634246415076	-1	0.779475142030572	TRUE	3	FALSE	FALSE
1	3	3	TRUE	-0.513398333002018	0.513398333002018	-1	0.392152780286876	TRUE	2	FALSE	FALSE
2	1	1	TRUE	0.990949929122876	0.990949929122876	1	0.857704779954667	TRUE	1	TRUE	TRUE
2	2	2	TRUE	0.982010509309645	0.982010509309645	1	0.848241942461953	TRUE	2	FALSE	FALSE
2	3	3	TRUE	-0.98560853156205	0.98560853156205	-1	0.875092633478965	TRUE	3	FALSE	FALSE
3	1	1	TRUE	0.993659862506144	0.993659862506144	1	0.884532159765029	TRUE	1	TRUE	TRUE
3	2	2	TRUE	0.991318062614172	0.991318062614172	1	0.882355491060928	TRUE	2	FALSE	FALSE
3	3	3	TRUE	-0.786739751042754	0.786739751042754	-1	0.714170031585428	TRUE	3	FALSE	FALSE
4	1	1	TRUE	0.982933797884064	0.982933797884064	1	0.800399923135332	TRUE	1	TRUE	TRUE
4	2	2	TRUE	-0.981517435929881	0.981517435929881	-1	0.80029615660301	TRUE	2	FALSE	FALSE
4	3	3	TRUE	-0.954721950258559	0.954721950258559	-1	0.924879124968829	TRUE	3	FALSE	FALSE
5	1	1	TRUE	0.957272266762921	0.957272266762921	1	0.66915344469971	TRUE	1	TRUE	TRUE
5	2	2	TRUE	-0.955883814980573	0.955883814980573	-1	0.666840940868799	TRUE	2	FALSE	FALSE
5	3	3	TRUE	0.96509370716139	0.96509370716139	1	0.957918452627588	TRUE	3	FALSE	FALSE
6	1	1	TRUE	0.978571085403071	0.978571085403071	1	0.78275797686864	TRUE	1	TRUE	TRUE
6	2	2	TRUE	-0.976559670770246	0.976559670770246	-1	0.776157260691138	TRUE	2	FALSE	FALSE
6	3	3	TRUE	-0.96074399763194	0.96074399763194	-1	0.912789689224879	TRUE	3	FALSE	FALSE
7	1	1	TRUE	0.976365050418678	0.976365050418678	1	0.761529018991077	TRUE	1	TRUE	TRUE
7	2	2	TRUE	0.975308611864976	0.975308611864976	1	0.759734663097532	TRUE	2	FALSE	FALSE
7	3	3	TRUE	-0.998452223245958	0.998452223245958	-1	0.961957589770407	TRUE	3	FALSE	FALSE
8	1	1	TRUE	0.990938299778697	0.990938299778697	1	0.862643340009032	TRUE	1	TRUE	TRUE
8	2	2	TRUE	-0.987141147670029	0.987141147670029	-1	0.856447897803002	TRUE	2	FALSE	FALSE
8	3	3	TRUE	-0.99542147180886	0.99542147180886	-1	0.903225803247134	TRUE	3	FALSE	FALSE
9	1	1	TRUE	0.980362090447365	0.980362090447365	1	0.786702786264876	TRUE	1	TRUE	TRUE
9	2	2	TRUE	-0.980723267345185	0.980723267345185	-1	0.787073165604119	TRUE	2	FALSE	FALSE
9	3	3	TRUE	0.994688654347676	0.994688654347676	1	0.957461548194845	TRUE	3	FALSE	FALSE
10	1	1	TRUE	0.98903117142636	0.98903117142636	1	0.848925164316943	TRUE	1	TRUE	TRUE
10	2	2	TRUE	0.975902553428944	0.975902553428944	1	0.813013204890868	TRUE	2	FALSE	FALSE
10	3	3	TRUE	0.969951686690012	0.969951686690012	1	0.803936884237712	TRUE	3	FALSE	FALSE
11	1	1	TRUE	0.961263995287693	0.961263995287693	1	0.690577356680772	TRUE	1	TRUE	TRUE
11	2	2	TRUE	0.959840674299418	0.959840674299418	1	0.686821657639473	TRUE	2	FALSE	FALSE
11	3	3	TRUE	-0.988201955512134	0.988201955512134	-1	0.917337085425067	TRUE	3	FALSE	FALSE
12	1	1	TRUE	0.992648650259124	0.992648650259124	1	0.877363480170476	TRUE	1	TRUE	TRUE
12	2	2	TRUE	-0.993223097882982	0.993223097882982	-1	0.877587457097228	TRUE	2	FALSE	FALSE
12	3	3	TRUE	0.979981715601997	0.979981715601997	1	0.948195468199232	TRUE	3	FALSE	FALSE
13	1	1	TRUE	0.997817537951979	0.997817537951979	1	0.938045898858724	TRUE	1	TRUE	TRUE
13	2	2	TRUE	-0.990754559550531	0.990754559550531	-1	0.862659085105643	TRUE	2	FALSE	FALSE
13	3	3	TRUE	-0.942962096967932	0.942962096967932	-1	0.828062375373169	TRUE	3	FALSE	FALSE
14	1	1	TRUE	0.993984374936721	0.993984374936721	1	0.895588387721408	TRUE	1	TRUE	TRUE
14	2	2	TRUE	0.992963527126871	0.992963527126871	1	0.895189457956627	TRUE	2	FALSE	FALSE
14	3	3	TRUE	-0.977334857527777	0.977334857527777	-1	0.93223133842252	TRUE	3	FALSE	FALSE
15	1	1	TRUE	0.954822246397763	0.954822246397763	1	0.658041373928039	TRUE	1	TRUE	TRUE
15	2	2	TRUE	0.952831066139348	0.952831066139348	1	0.657756946589019	TRUE	3	FALSE	FALSE
15	3	3	TRUE	0.990039578624099	0.990039578624099	1	0.926839583897877	TRUE	2	FALSE	FALSE
16	1	1	TRUE	0.992522657347159	0.992522657347159	1	0.87417451654962	TRUE	1	TRUE	TRUE
16	2	2	TRUE	-0.990086590293913	0.990086590293913	-1	0.874019982592836	TRUE	2	FALSE	FALSE
16	3	3	TRUE	-0.848813261261915	0.848813261261915	-1	0.773179059056843	TRUE	3	FALSE	FALSE
17	1	1	TRUE	0.999865923928422	0.999865923928422	1	0.98820322469861	TRUE	1	TRUE	TRUE
17	2	2	TRUE	0.998195979615283	0.998195979615283	1	0.941726305533137	TRUE	2	FALSE	FALSE
17	3	3	TRUE	0.998314510662999	0.998314510662999	1	0.941847109878009	TRUE	3	FALSE	FALSE
18	1	1	TRUE	0.994861611996945	0.994861611996945	1	0.897018833524939	TRUE	1	TRUE	TRUE
18	2	2	TRUE	-0.994436133353722	0.994436133353722	-1	0.896292195004162	TRUE	2	FALSE	FALSE
18	3	3	TRUE	-0.993832976273263	0.993832976273263	-1	0.96301732173684	TRUE	3	FALSE	FALSE
19	1	1	TRUE	0.994220175903684	0.994220175903684	1	0.886885402714828	TRUE	1	TRUE	TRUE
19	2	2	TRUE	-0.991372973605535	0.991372973605535	-1	0.884518066173449	TRUE	3	FALSE	FALSE
19	3	3	TRUE	-0.999030727599683	0.999030727599683	-1	0.959625790637667	TRUE	2	FALSE	FALSE
20	1	1	TRUE	0.993911631411987	0.993911631411987	1	0.886050119897276	TRUE	1	TRUE	TRUE
