experiment,matrix_sample_id,include,exclusion_reason,genotype,temperature_c,stage,day,tissue,biological_unit,source_group,source_deg_id,metadata_status,source_library_keys,source_specimen_ids,source_pool_composition,genotype_confidence,temperature_confidence,stage_confidence,source_registry_refcodes,defect_flag
gsd_timecourse_28c,FS42259626,true,,ZW,28,,7,gonad,declared pool of destructive samples,ZW_7,FS42259626,master_registry_matched,FS42259626,POOLED — no single specimen,81618-ZW_7-Pool2,high,authoritative,unrecorded,460,
gsd_timecourse_28c,FS42259628,true,,ZZ,28,,7,gonad,declared pool of destructive samples,ZZ_7,FS42259628,master_registry_matched,FS42259628,POOLED — no single specimen,81618-ZZ_7-Pool2,high,authoritative,unrecorded,467,
gsd_timecourse_28c,FS42259629,true,,ZW,28,,9,gonad,declared pool of destructive samples,ZW_9,FS42259629,master_registry_matched,FS42259629,POOLED — no single specimen,81618-ZW_9-Pool1,high,authoritative,unrecorded,463,
gsd_timecourse_28c,FS42259630,true,,ZW,28,,9,gonad,declared pool of destructive samples,ZW_9,FS42259630,master_registry_matched,FS42259630,POOLED — no single specimen,81618-ZW_9-Pool2,high,authoritative,unrecorded,464,
gsd_timecourse_28c,FS42259631,false,DEG_ID_inconsistent_with_GROUP,ZZ,28,,9,gonad,declared pool of destructive samples,,FS42259631,registry_defect,FS42259631,POOLED — no single specimen,81618-ZZ_9-Pool1,high,authoritative,unrecorded,468,DEG_ID_inconsistent_with_GROUP
gsd_timecourse_28c,FS42259632,true,,ZW,28,,7,gonad,declared pool of destructive samples,ZW_7,FS42259632,master_registry_matched,FS42259632,POOLED — no single specimen,82395-ZW_7-Pool1,high,authoritative,unrecorded,461,
gsd_timecourse_28c,FS42260365,true,,ZZ,28,,13,gonad,independent destructive sample,ZZ_13,FS42260365,master_registry_matched,FS42260365,E:81618:1:24:8,,authoritative,authoritative,unrecorded,427;449,
gsd_timecourse_28c,FS42260366,true,,ZZ,28,,17,gonad,independent destructive sample,ZZ_17,FS42260366,master_registry_matched,FS42260366,E:82395:1:24:23,,authoritative,authoritative,unrecorded,433;455,
gsd_timecourse_28c,FS42260367,true,,ZW,28,,13,gonad,independent destructive sample,ZW_13,FS42260367,master_registry_matched,FS42260367,E:81618:1:24:17,,authoritative,authoritative,unrecorded,416;438,
gsd_timecourse_28c,FS42260368,true,,ZW,28,,13,gonad,independent destructive sample,ZW_13,FS42260368,master_registry_matched,FS42260368,E:82395:1:24:16,,authoritative,authoritative,unrecorded,417;439,
