"expression_name","library_id","source_cohort","prepared_layer","mouse_id","sample_weeks"
"T0_3334_108_CM_CHW_M_G4_20951","COHP_20951","AML.mRNA.2018.all_samples","mrna_primary_2018","3334",0
"T0_3335_1_CTL_HW_M_G1_20877","COHP_20877","AML.mRNA.2018.all_samples","mrna_primary_2018","3335",0
"T0_3336_9_CM_CHW_F_G3_20918","COHP_20918","AML.mRNA.2018.all_samples","mrna_primary_2018","3336",0
"T0_3338_19_CM_CHW_F_G6_20979","COHP_20979","AML.mRNA.2018.all_samples","mrna_primary_2018","3338",0
"T0_3339_64_CTL_CW_M_G1_20886","COHP_20886","AML.mRNA.2018.all_samples","mrna_primary_2018","3339",0
"T0_3340_119_CTL_HW_M_G5_20973","COHP_20973","AML.mRNA.2018.all_samples","mrna_primary_2018","3340",0
"T0_3341_24_CM_CHW_F_G2_20900","COHP_20900","AML.mRNA.2018.all_samples","mrna_primary_2018","3341",0
"T0_3342_75_CTL_CW_M_G5_20968","COHP_20968","AML.mRNA.2018.all_samples","mrna_primary_2018","3342",0
"T0_3346_86_CTL_CW_M_G3_20929","COHP_20929","AML.mRNA.2018.all_samples","mrna_primary_2018","3346",0
"T0_3349_97_CTL_CW_F_G2_20911","COHP_20911","AML.mRNA.2018.all_samples","mrna_primary_2018","3349",0
"T0_3350_130_CTL_WT_F_G4_20955","COHP_20955","AML.mRNA.2018.all_samples","mrna_primary_2018","3350",0
"T0_3357_32_CM_CHW_F_G6_20980","COHP_20980","AML.mRNA.2018.all_samples","mrna_primary_2018","3357",0
"T0_3368_43_CM_CHW_M_G5_20962","COHP_20962","AML.mRNA.2018.all_samples","mrna_primary_2018","3368",0
"T0_3370_54_CM_CHW_M_G7_21003","COHP_21003","AML.mRNA.2018.all_samples","mrna_primary_2018","3370",0
"T10_3335_118_CTL_HW_M_G1_20892","COHP_20892","AML.mRNA.2018.all_samples","mrna_primary_2018","3335",43.6
"T10_3339_74_CTL_CW_M_G5_20967","COHP_20967","AML.mRNA.2018.all_samples","mrna_primary_2018","3339",43.6
"T10_3340_129_CTL_HW_M_G4_20954","COHP_20954","AML.mRNA.2018.all_samples","mrna_primary_2018","3340",43.6
"T10_3342_85_CTL_CW_M_G1_20890","COHP_20890","AML.mRNA.2018.all_samples","mrna_primary_2018","3342",43.6
"T10_3346_96_CTL_CW_M_G1_20888","COHP_20888","AML.mRNA.2018.all_samples","mrna_primary_2018","3346",43.6
"T10_3349_107_CTL_CW_F_G6_20991","COHP_20991","AML.mRNA.2018.all_samples","mrna_primary_2018","3349",43.6
"T10_3350_140_CTL_WT_F_G7_21015","COHP_21015","AML.mRNA.2018.all_samples","mrna_primary_2018","3350",43.6
"T10_3368_53_CM_CHW_M_G6_20983","COHP_20983","AML.mRNA.2018.all_samples","mrna_primary_2018","3368",43.6
"T1_3334_109_CM_CHW_M_G6_20992","COHP_20992","AML.mRNA.2018.all_samples","mrna_primary_2018","3334",6
"T1_3335_2_CTL_HW_M_G5_20957","COHP_20957","AML.mRNA.2018.all_samples","mrna_primary_2018","3335",6
"T1_3336_10_CM_CHW_F_G4_20938","COHP_20938","AML.mRNA.2018.all_samples","mrna_primary_2018","3336",6
"T1_3338_20_CM_CHW_F_G7_20999","COHP_20999","AML.mRNA.2018.all_samples","mrna_primary_2018","3338",6
"T1_3339_65_CTL_CW_M_G5_20966","COHP_20966","AML.mRNA.2018.all_samples","mrna_primary_2018","3339",6
"T1_3340_120_CTL_HW_M_G1_20893","COHP_20893","AML.mRNA.2018.all_samples","mrna_primary_2018","3340",6
"T1_3341_25_CM_CHW_F_G5_20960","COHP_20960","AML.mRNA.2018.all_samples","mrna_primary_2018","3341",6
"T1_3342_76_CTL_CW_M_G6_20987","COHP_20987","AML.mRNA.2018.all_samples","mrna_primary_2018","3342",6
"T1_3346_87_CTL_CW_M_G6_20989","COHP_20989","AML.mRNA.2018.all_samples","mrna_primary_2018","3346",6
"T1_3349_98_CTL_CW_F_G3_20931","COHP_20931","AML.mRNA.2018.all_samples","mrna_primary_2018","3349",6
"T1_3350_131_CTL_WT_F_G5_20975","COHP_20975","AML.mRNA.2018.all_samples","mrna_primary_2018","3350",6
"T1_3357_33_CM_CHW_F_G4_20942","COHP_20942","AML.mRNA.2018.all_samples","mrna_primary_2018","3357",6
"T1_3368_44_CM_CHW_M_G3_20924","COHP_20924","AML.mRNA.2018.all_samples","mrna_primary_2018","3368",6
"T1_3370_55_CM_CHW_M_G5_20964","COHP_20964","AML.mRNA.2018.all_samples","mrna_primary_2018","3370",6
"T2_3334_110_CM_CHW_M_G7_21012","COHP_21012","AML.mRNA.2018.all_samples","mrna_primary_2018","3334",10
"T2_3335_3_CTL_HW_M_G3_20917","COHP_20917","AML.mRNA.2018.all_samples","mrna_primary_2018","3335",10
"T2_3336_11_CM_CHW_F_G7_20998","COHP_20998","AML.mRNA.2018.all_samples","mrna_primary_2018","3336",10
"T2_3338_21_CM_CHW_F_G3_20920","COHP_20920","AML.mRNA.2018.all_samples","mrna_primary_2018","3338",10
"T2_3339_66_CTL_CW_M_G7_21005","COHP_21005","AML.mRNA.2018.all_samples","mrna_primary_2018","3339",10
"T2_3340_121_CTL_HW_M_G6_20994","COHP_20994","AML.mRNA.2018.all_samples","mrna_primary_2018","3340",10
"T2_3341_26_CM_CHW_F_G1_20880","COHP_20880","AML.mRNA.2018.all_samples","mrna_primary_2018","3341",10
"T2_3342_77_CTL_CW_M_G7_21007","COHP_21007","AML.mRNA.2018.all_samples","mrna_primary_2018","3342",10
"T2_3346_88_CTL_CW_M_G5_20969","COHP_20969","AML.mRNA.2018.all_samples","mrna_primary_2018","3346",10
"T2_3349_99_CTL_CW_F_G4_20949","COHP_20949","AML.mRNA.2018.all_samples","mrna_primary_2018","3349",10
"T2_3350_132_CTL_WT_F_G6_20995","COHP_20995","AML.mRNA.2018.all_samples","mrna_primary_2018","3350",10
"T2_3357_34_CM_CHW_F_G2_20902","COHP_20902","AML.mRNA.2018.all_samples","mrna_primary_2018","3357",10
"T2_3368_45_CM_CHW_M_G1_20883","COHP_20883","AML.mRNA.2018.all_samples","mrna_primary_2018","3368",10
"T2_3370_56_CM_CHW_M_G2_20905","COHP_20905","AML.mRNA.2018.all_samples","mrna_primary_2018","3370",10
"T3_3334_111_CM_CHW_M_G3_20933","COHP_20933","AML.mRNA.2018.all_samples","mrna_primary_2018","3334",14.6
"T3_3335_4_CTL_HW_M_G2_20897","COHP_20897","AML.mRNA.2018.all_samples","mrna_primary_2018","3335",14.6
"T3_3336_12_CM_CHW_F_G5_20958","COHP_20958","AML.mRNA.2018.all_samples","mrna_primary_2018","3336",14.6
"T3_3338_22_CM_CHW_F_G4_20940","COHP_20940","AML.mRNA.2018.all_samples","mrna_primary_2018","3338",14.6
"T3_3339_67_CTL_CW_M_G3_20926","COHP_20926","AML.mRNA.2018.all_samples","mrna_primary_2018","3339",14.6
"T3_3340_122_CTL_HW_M_G2_20914","COHP_20914","AML.mRNA.2018.all_samples","mrna_primary_2018","3340",14.6
"T3_3341_27_CM_CHW_F_G4_20941","COHP_20941","AML.mRNA.2018.all_samples","mrna_primary_2018","3341",14.6
"T3_3342_78_CTL_CW_M_G1_20889","COHP_20889","AML.mRNA.2018.all_samples","mrna_primary_2018","3342",14.6
"T3_3346_89_CTL_CW_M_G2_20909","COHP_20909","AML.mRNA.2018.all_samples","mrna_primary_2018","3346",14.6
"T3_3349_100_CTL_CW_F_G1_20891","COHP_20891","AML.mRNA.2018.all_samples","mrna_primary_2018","3349",14.6
"T3_3350_133_CTL_WT_F_G1_20895","COHP_20895","AML.mRNA.2018.all_samples","mrna_primary_2018","3350",14.6
"T3_3357_35_CM_CHW_F_G5_20961","COHP_20961","AML.mRNA.2018.all_samples","mrna_primary_2018","3357",14.6
"T3_3368_46_CM_CHW_M_G5_20963","COHP_20963","AML.mRNA.2018.all_samples","mrna_primary_2018","3368",14.6
"T3_3370_57_CM_CHW_M_G4_20945","COHP_20945","AML.mRNA.2018.all_samples","mrna_primary_2018","3370",14.6
"T4_3334_112_CM_CHW_M_G2_20913","COHP_20913","AML.mRNA.2018.all_samples","mrna_primary_2018","3334",19
"T4_3335_5_CTL_HW_M_G4_20937","COHP_20937","AML.mRNA.2018.all_samples","mrna_primary_2018","3335",19
"T4_3336_13_CM_CHW_F_G1_20878","COHP_20878","AML.mRNA.2018.all_samples","mrna_primary_2018","3336",19
"T4_3338_23_CM_CHW_F_G1_20879","COHP_20879","AML.mRNA.2018.all_samples","mrna_primary_2018","3338",19
"T4_3339_68_CTL_CW_M_G4_20946","COHP_20946","AML.mRNA.2018.all_samples","mrna_primary_2018","3339",19
"T4_3340_123_CTL_HW_M_G3_20935","COHP_20935","AML.mRNA.2018.all_samples","mrna_primary_2018","3340",19
"T4_3341_28_CM_CHW_F_G2_20901","COHP_20901","AML.mRNA.2018.all_samples","mrna_primary_2018","3341",19
"T4_3342_79_CTL_CW_M_G3_20928","COHP_20928","AML.mRNA.2018.all_samples","mrna_primary_2018","3342",19
"T4_3346_90_CTL_CW_M_G4_20948","COHP_20948","AML.mRNA.2018.all_samples","mrna_primary_2018","3346",19
"T4_3349_101_CTL_CW_F_G7_21011","COHP_21011","AML.mRNA.2018.all_samples","mrna_primary_2018","3349",19
"T4_3350_134_CTL_WT_F_G5_20976","COHP_20976","AML.mRNA.2018.all_samples","mrna_primary_2018","3350",19
"T4_3357_36_CM_CHW_F_G1_20881","COHP_20881","AML.mRNA.2018.all_samples","mrna_primary_2018","3357",19
"T4_3368_47_CM_CHW_M_G2_20904","COHP_20904","AML.mRNA.2018.all_samples","mrna_primary_2018","3368",19
"T4_3370_58_CM_CHW_M_G6_20984","COHP_20984","AML.mRNA.2018.all_samples","mrna_primary_2018","3370",19
"T5_3334_113_CM_CHW_M_G4_20952","COHP_20952","AML.mRNA.2018.all_samples","mrna_primary_2018","3334",23.4
"T5_3335_6_CTL_HW_M_G7_20997","COHP_20997","AML.mRNA.2018.all_samples","mrna_primary_2018","3335",23.4
"T5_3336_14_CM_CHW_F_G2_20899","COHP_20899","AML.mRNA.2018.all_samples","mrna_primary_2018","3336",23.4
"T5_3339_69_CTL_CW_M_G1_20887","COHP_20887","AML.mRNA.2018.all_samples","mrna_primary_2018","3339",23.4
